remnux@remnux:~/Documents/CTF/yukthiCTF$ sudo python3 /opt/volatility/vol.py -f ~/Documents/CTF/yukthiCTF/RAM.vmem windows.filescan
Volatility 3 Framework 2.5.2
WARNING  volatility3.framework.layers.vmware: No metadata file found alongside VMEM file. A VMSS or VMSN file may be required to correctly process a VMEM file. These should be placed in the same directory with the same file name, e.g. RAM.vmem and RAM.vmss.
Progress:  100.00		PDB scanning finished                        
0x1a29d68	\WINDOWS\system32\ssdpsrv.dll	112
0x1a29e00	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700	112
0x1a29f00	\WINDOWS\system	112
0x1a2ad60	\net\NtControlPipe3	112
0x1a2adf8	\net\NtControlPipe2	112
0x1a2af90	\WINDOWS\system32\actxprxy.dll	112
0x1a2b648	\Documents and Settings\NetworkService\NTUSER.DAT	112
0x1a2c410	\$Directory	112
0x1a2c810	\WINDOWS\system32\mui\0009	112
0x1a2cc60	\WINDOWS\ime\imkr6_1\dicts	112
0x1a2ce00	\WINDOWS\system32\mydocs.dll	112
0x1a2cf40	\WINDOWS\system32\usmt	112
0x1a2d658	\WINDOWS\srchasst	112
0x1a2d6f0	\WINDOWS\ime	112
0x1a2dad8	\Program Files\Outlook Express	112
0x1a2df68	\WINDOWS\system32\oobe	112
0x1a2e550	\WINDOWS\system32	112
0x1a2f410	\$Directory	112
0x1a2f7e8	\WINDOWS\system32\Restore	112
0x1a2fc60	\Program Files\Common Files\SpeechEngines\Microsoft\TTS\1033	112
0x1a2ff90	\WINDOWS\Resources\Themes\Luna\Shell\NormalColor	112
0x1a301c8	\WINDOWS\system32\$winnt$.inf	112
0x1a30558	\WINDOWS\system32\ssdpsrv.dll	112
0x1a31090	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a31840	\PROGRA~1\MSNGAM~1\Windows\Hrtzres.dll	112
0x1a32300	\PROGRA~1\MSNGAM~1\Windows\Shvlres.dll	112
0x1a32568	\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG	112
0x1a32840	\WINDOWS\system32\mfc42ul.dll	112
0x1a39260	\Documents and Settings\LocalService\Local Settings\Temporary Internet Files\Content.IE5\index.dat	112
0x1a39e18	\PCHHangRepExecPipe	112
0x1a39f90	\keysvc	112
0x1a3aa70	\WINDOWS\system32\wdmaud.drv	112
0x1a3ade0	\Ctx_WinStation_API_service	112
0x1a3aeb8	\WINDOWS\system32\mui\040e	112
0x1a3af90	\WINDOWS\system32\mui\040D	112
0x1a3b218	\$Directory	112
0x1a3b9a0	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a3c548	\WINDOWS\system32\wow32.dll	112
0x1a3d028	\Documents and Settings\All Users\Start Menu\Programs\Startup\desktop.ini	112
0x1a3d788	\WINDOWS\system32	112
0x1a3e568	\WINDOWS\system32\config\default	112
0x1a3e7a8	\net\NtControlPipe0	112
0x1a3e978	\Documents and Settings\Administrator\Desktop\FDPro.exe	112
0x1a3eab0	\Documents and Settings\LocalService\NTUSER.DAT	112
0x1a3eb48	\WINDOWS\system32\drivers\etc	112
0x1a3ef40	\WINDOWS\system32\mui\0816	112
0x1a43750	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a7e220	\WINDOWS\system32\urlmon.dll	112
0x1a7e668	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9\comctl32.dll112
0x1a7feb8	\WINDOWS\system32\shsvcs.dll	112
0x1a804b0	\WINDOWS\system32\umpnpmgr.dll	112
0x1a808f8	\WINDOWS\system32\msvcp60.dll	112
0x1a80d20	\WINDOWS\system32\dnsapi.dll	112
0x1a81028	\WINDOWS\system32\shgina.dll	112
0x1a81158	\WINDOWS\system32\olethk32.dll	112
0x1a81250	\WINDOWS\system32\TPVMMon.dll	112
0x1a81438	\WINDOWS\system32\dhcpcsvc.dll	112
0x1a81c28	\WINDOWS\system32\iphlpapi.dll	112
0x1a82910	\WINDOWS\system32\mui\0401	112
0x1a82b90	\WINDOWS\WindowsUpdate.log	112
0x1a82c28	\WINDOWS\WindowsUpdate.log	112
0x1a82cc0	\WINDOWS\WindowsUpdate.log	112
0x1a82d58	\WINDOWS\WindowsUpdate.log	112
0x1a83168	\WINDOWS\system32\adsldpc.dll	112
0x1a83318	\WINDOWS\system32\mui\041D	112
0x1a83400	\WINDOWS\system32\mui\041b	112
0x1a83820	\WINDOWS\system32\esent.dll	112
0x1a85608	\WINDOWS\system32\cryptui.dll	112
0x1a857c8	\WINDOWS\system32\sens.dll	112
0x1a85e98	\WINDOWS\system32\cscdll.dll	112
0x1a866b0	\lsarpc	112
0x1a88160	\$Directory	112
0x1a881f8	\Documents and Settings\All Users\Application Data\Microsoft\User Account Pictures\Administrator.bmp	112
0x1a88598	\WINDOWS\Fonts\arial.ttf	112
0x1a88768	\WINDOWS\system32\shgina.dll	112
0x1a88b00	\$Directory	112
0x1a88b98	\WINDOWS\Registration\R000000000007.clb	112
0x1a88d68	\WINDOWS\system32\comres.dll	112
0x1a88f90	\WINDOWS\system32\clbcatq.dll	112
0x1a89100	\WINDOWS\system32\win32k.sys	112
0x1a89268	\WINDOWS\WinSxS\Policies\x86_policy.8.0.Microsoft.VC80.MFC_1fc8b3b9a1e18e3b_x-ww_0f75c32e\8.0.50727.762.policy112
0x1a89d30	\WINDOWS\system32\setupapi.dll	112
0x1a89e98	\WINDOWS\system32\secur32.dll	112
0x1a8a028	\WINDOWS\system32\drivers\vmxnet.sys	112
0x1a8a7d0	\WINDOWS\system32\csrss.exe	112
0x1a8aa60	\WINDOWS\Fonts\wst_fren.fon	112
0x1a8ac30	\WINDOWS\Fonts\wst_engl.fon	112
0x1a8ae00	\WINDOWS\Fonts\wst_czec.fon	112
0x1a8af90	\WINDOWS\Fonts\symbole.fon	112
0x1a8b528	\Documents and Settings\Administrator	112
0x1a8bc20	\$Directory	112
0x1a8bf50	\WINDOWS\system32\browseui.dll	112
0x1a99b30	\WINDOWS\system32\colbact.dll	112
0x1a9a648	\Documents and Settings\Administrator\Start Menu\Programs\Accessories\desktop.ini	112
0x1a9a6e8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a9a780	\WINDOWS\system32\batmeter.dll	112
0x1a9aac8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a9b248	\$Directory	112
0x1a9b5a0	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1a9b750	\Documents and Settings\LocalService\Local Settings\History\History.IE5\index.dat	112
0x1a9b8c0	\Documents and Settings\LocalService\Cookies\index.dat	112
0x1a9c028	\$Directory	112
0x1a9c2f8	\WINDOWS\system32\rpcss.dll	112
0x1a9c638	\WINDOWS\system32\ntmarta.dll	112
0x1a9c870	\WINDOWS\system32\svchost.exe	112
0x1a9ca90	\System Volume Information\_restore{66A0E9AC-16B8-4856-BDB9-D5ECB76B5649}\RP7\A0001092.	112
0x1a9cc88	\net\NtControlPipe2	112
0x1a9ce80	\WINDOWS\system32\ntoskrnl.exe	112
0x1a9d300	\WINDOWS\Fonts\vgafix.fon	112
0x1a9d800	\WINDOWS\Fonts\vgaoem.fon	112
0x1a9dce0	\WINDOWS\system32\crypt32.dll	112
0x1a9ef00	\WINDOWS\system32\drivers\vmhgfs.sys	112
0x1a9f390	\WINDOWS\system32\drivers\vmdebug.sys	112
0x1a9f9b8	\$Directory	112
0x1a9fc88	\$Directory	112
0x1a9fd20	\WINDOWS\ime\chsime\applets	112
0x1aa2028	\WINDOWS\Fonts\coure.fon	112
0x1aa20d8	\WINDOWS\system32\msgina.dll	112
0x1aa2258	\WINDOWS\system32\raschap.dll	112
0x1aa2498	\WINDOWS\Fonts\marlett.ttf	112
0x1aa2668	\WINDOWS\Fonts\tahoma.ttf	112
0x1aa2900	\WINDOWS\Fonts\tahomabd.ttf	112
0x1aa2ad0	\WINDOWS\Fonts\trebucbd.ttf	112
0x1aa2ca0	\WINDOWS\Fonts\serife.fon	112
0x1aa2ec0	\WINDOWS\Fonts\sserife.fon	112
0x1aa31a8	\spoolss	112
0x1aa3388	\spoolss	112
0x1aa40e8	\WINDOWS\Fonts\roman.fon	112
0x1aa44f0	\WINDOWS\system32\kbdus.dll	112
0x1aa4808	\WINDOWS\system32\lz32.dll	112
0x1aa4aa0	\WINDOWS\system32\cnbjmon.dll	112
0x1aa4d00	\WINDOWS\Fonts\ega40woa.fon	112
0x1aa51e8	\$Directory	112
0x1aa5410	\WINDOWS\system32\ws2_32.dll	112
0x1aa55e0	\WINDOWS\system32\winsta.dll	112
0x1aa5eb8	\WINDOWS\system32\msgina.dll	112
0x1aa6618	\$Directory	112
0x1aa6798	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1aa68e8	\WINDOWS\system32\netapi32.dll	112
0x1aa7630	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1adbd00	\WINDOWS\system32\shell32.dll	112
0x1add2f0	\WINDOWS\system32\TPVMW32.dll	112
0x1add3d8	\WINDOWS\system32\msacm32.dll	112
0x1ade6c8	\Winsock2\CatalogChangeListener-394-0	112
0x1adeb40	\WINDOWS\system32\rasadhlp.dll	112
0x1adeeb8	\WINDOWS\system32\msv1_0.dll	112
0x1adf028	\WINDOWS\system32\rasdlg.dll	112
0x1adf138	\WINDOWS\system32\rasdlg.dll	112
0x1adf540	\WINDOWS\system32\wbem\repdrvfs.dll	112
0x1adf9a8	\WINDOWS\system32\wbem\wbemess.dll	112
0x1adfb18	\WINDOWS\system32\wbem\wmiprvsd.dll	112
0x1adfc10	\WINDOWS\WindowsUpdate.log	112
0x1adfeb8	\WINDOWS\system32\msimg32.dll	112
0x1ae0210	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1ae02d8	\WINDOWS\pchealth\helpctr\binaries\pchsvc.dll	112
0x1ae0370	\WINDOWS\system32\es.dll	112
0x1ae0518	\WINDOWS\WindowsUpdate.log	112
0x1ae05b0	\WINDOWS\WindowsUpdate.log	112
0x1ae0648	\WINDOWS\WindowsUpdate.log	112
0x1ae06e0	\WINDOWS\WindowsUpdate.log	112
0x1ae09f8	\WINDOWS\system32\sc.exe	112
0x1ae0a90	\WINDOWS\WindowsUpdate.log	112
0x1ae0b28	\WINDOWS\WindowsUpdate.log	112
0x1ae0bc0	\WINDOWS\WindowsUpdate.log	112
0x1ae24f8	\WINDOWS\system32\srsvc.dll	112
0x1ae2668	\Program Files\VMware\VMware Tools\VMwareService.exe	112
0x1ae2b68	\WINDOWS\system32\userenv.dll	112
0x1ae4338	\WINDOWS\system32\xpsp2res.dll	112
0x1ae64a0	\WINDOWS\system32\ipnathlp.dll	112
0x1ae66c0	\WINDOWS\system32\adsldpc.dll	112
0x1ae68e0	\WINDOWS\system32\activeds.dll	112
0x1ae6b08	\WINDOWS\system32\mprapi.dll	112
0x1ae6d30	\WINDOWS\system32\rastls.dll	112
0x1ae6e30	\WINDOWS\system32\autochk.exe	112
0x1ae76a8	\WINDOWS\Fonts\cga40woa.fon	112
0x1ae7838	\WINDOWS\Fonts\cga80woa.fon	112
0x1ae78f8	\$Directory	112
0x1ae7990	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\Unity Filters\googledesktop.txt	112
0x1ae7bd8	\WINDOWS\system32\sortkey.nls	112
0x1ae7de8	\WINDOWS\system32\ctype.nls	112
0x1ae7f90	\WINDOWS\system32\ws2help.dll	112
0x1ae89c8	\Documents and Settings\Administrator\Start Menu\desktop.ini	112
0x1ae8b38	\WINDOWS\system32\wintrust.dll	112
0x1ae8ef8	\$Directory	112
0x1ae8f90	\WINDOWS\AppPatch\drvmain.sdb	112
0x1ae9118	\$Directory	112
0x1ae9218	\WINDOWS\Web\Wallpaper\Bliss.bmp	112
0x1ae9760	\ntsvcs	112
0x1ae9e90	\$Directory	112
0x1b00158	\$Mft	112
0x1b01170	\WINDOWS\system32\winhttp.dll	112
0x1b012c0	\WINDOWS\WinSxS\Policies\x86_policy.5.2.Microsoft.Windows.Networking.Rtcdll_6595b64144ccf1df_x-ww_c7b7206f\5.2.2.3.Policy	112
0x1b01988	\WINDOWS\system32\cabinet.dll	112
0x1b01c60	\WINDOWS\system32\olesvr32.dll	112
0x1b01cf8	\WINDOWS\system32\mspatcha.dll	112
0x1b01e20	\WINDOWS\system32\wscsvc.dll	112
0x1b01f90	\WINDOWS\system32\browser.dll	112
0x1b023c0	\WINDOWS\system32\msasn1.dll	112
0x1b02658	\WINDOWS\system32\wintrust.dll	112
0x1b02818	\WINDOWS\system32\msi.dll	112
0x1b02b88	\WINDOWS\system32\netapi32.dll	112
0x1b03028	\WINDOWS\system32\ws2help.dll	112
0x1b03180	\WINDOWS\system32\drivers\vmscsi.sys	112
0x1b03280	\WINDOWS\system32\win32k.sys	112
0x1b03518	\WINDOWS\system32\wbem\wbemprox.dll	112
0x1b03640	\WINDOWS\system32\wbem\wbemcore.dll	112
0x1b037b0	\WINDOWS\system32\wbem\wbemcomn.dll	112
0x1b03a48	\WINDOWS\system32\basesrv.dll	112
0x1b03ce0	\WINDOWS\system32\csrss.exe	112
0x1b03df0	\WINDOWS\system32\winspool.drv	112
0x1b04398	\WINDOWS\system32\wbem\fastprox.dll	112
0x1b04508	\WINDOWS\system32\wbem\esscli.dll	112
0x1b046c8	\WINDOWS\system32\wbem\wbemsvc.dll	112
0x1b06748	\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9.Manifest	112
0x1b071c0	\WINDOWS\Debug\PASSWD.LOG	112
0x1b072a8	\WINDOWS\system32\secur32.dll	112
0x1b08268	\WINDOWS\system32\mtxclu.dll	112
0x1b08498	\WINDOWS\system32\comsvcs.dll	112
0x1b087c8	\EVENTLOG	112
0x1b089d0	\WINDOWS\system32\es.dll	112
0x1b08be8	\WINDOWS\system32\wbem\wbemess.dll	112
0x1b08d50	\WINDOWS\system32\activeds.dll	112
0x1b08f90	\WINDOWS\system32\wbem\wmiprvsd.dll	112
0x1b09028	\WINDOWS\system32\xpsp2res.dll	112
0x1b09238	\WINDOWS\system32\config\SysEvent.Evt	112
0x1b09468	\WINDOWS\system32\config\SecEvent.Evt	112
0x1b09798	\$Directory	112
0x1b09830	\WINDOWS\system32\config\AppEvent.Evt	112
0x1b09a00	\WINDOWS\system32\netevent.dll	112
0x1b09c08	\WINDOWS\system32\eventlog.dll	112
0x1b09e58	\WINDOWS\system32\ntkrnlpa.exe	112
0x1b0a038	\$Directory	112
0x1b0a8f8	\WINDOWS\system32\ole32.dll	112
0x1b0ad68	\WINDOWS\system32\locale.nls	112
0x1b0c510	\ntsvcs	112
0x1b0cd18	\$Directory	112
0x1b0cf90	\WINDOWS\system32\lz32.dll	112
0x1b0e8e0	\{9B365890-165F-11D0-A195-0020AFD156E4}	112
0x1b0e978	\WINDOWS\system32	112
0x1b0eb78	\net\NtControlPipe6	112
0x1b218d8	\WINDOWS\system32\oleaut32.dll	112
0x1b21d00	\WINDOWS\system32\rpcrt4.dll	112
0x1b223d8	\WINDOWS\system32\sfc.dll	112
0x1b22800	\WINDOWS\system32\sfc_os.dll	112
0x1b22eb8	\WINDOWS\system32\services.exe	112
0x1b23130	\WINDOWS\system32\wtsapi32.dll	112
0x1b232c0	\WINDOWS\system32\shimeng.dll	112
0x1b23c28	\WINDOWS\system32\cryptdll.dll	112
0x1b24028	\WINDOWS\system32\tcpmon.dll	112
0x1b244c0	\WINDOWS\system32\duser.dll	112
0x1b24558	\WINDOWS\system32\logonui.exe	112
0x1b248d8	\WINDOWS\system32\wshtcpip.dll	112
0x1b24aa0	\WINDOWS\WindowsUpdate.log	112
0x1b24b38	\WINDOWS\WindowsUpdate.log	112
0x1b24bd0	\WINDOWS\WindowsUpdate.log	112
0x1b24c68	\WINDOWS\WindowsUpdate.log	112
0x1b24d20	\WINDOWS\system32\netlogon.dll	112
0x1b25520	\WINDOWS\WindowsUpdate.log	112
0x1b255b8	\WINDOWS\WindowsUpdate.log	112
0x1b25650	\WINDOWS\WindowsUpdate.log	112
0x1b256e8	\WINDOWS\WindowsUpdate.log	112
0x1b257b0	\WINDOWS\system32\ersvc.dll	112
0x1b25920	\WINDOWS\system32\dmserver.dll	112
0x1b259f8	\WINDOWS\WindowsUpdate.log	112
0x1b25a90	\WINDOWS\WindowsUpdate.log	112
0x1b25b28	\WINDOWS\WindowsUpdate.log	112
0x1b25bc0	\WINDOWS\WindowsUpdate.log	112
0x1b25f90	\Documents and Settings\All Users\Application Data\VMware\VMware Tools\tools.conf	112
0x1b26a70	\WINDOWS\system32\atl.dll	112
0x1b27028	\WINDOWS\system32\usmt\migwiz.exe	112
0x1b28198	\WINDOWS\system32\powrprof.dll	112
0x1b28508	\WINDOWS\system32\mpr.dll	112
0x1b28630	\WINDOWS\system32\pstorsvc.dll	112
0x1b287a0	\WINDOWS\system32\wzcsapi.dll	112
0x1b28a38	\WINDOWS\system32\shdocvw.dll	112
0x1b28bd8	\WINDOWS\system32\credui.dll	112
0x1b28e90	\WINDOWS\system32\psbase.dll	112
0x1b2a8f8	\WINDOWS\system32\csrsrv.dll	112
0x1b2ab28	\WINDOWS\system32\icaapi.dll	112
0x1b2abc0	\WINDOWS\system32\termsrv.dll	112
0x1b2aeb8	\WINDOWS\system32\netcfgx.dll	112
0x1b2c228	\WINDOWS\system32\wuapi.dll	112
0x1b2c468	\WINDOWS\system32\atl.dll	112
0x1b2c638	\WINDOWS\system32\esent.dll	112
0x1b2c770	\net\NtControlPipe3	112
0x1b2cb88	\WINDOWS\system32\wmi.dll	112
0x1b2cd90	\WINDOWS\system32\rtutils.dll	112
0x1b2cf90	\WINDOWS\system32\wzcsvc.dll	112
0x1b2d0a0	\WINDOWS\system32\csrsrv.dll	112
0x1b2df90	\WINDOWS\system32\shdocvw.dll	112
0x1b2e028	\WINDOWS\system32\olethk32.dll	112
0x1b2e118	\WINDOWS\system32\smss.exe	112
0x1b2e408	\WINDOWS\system32\shlwapi.dll	112
0x1b2e610	\WINDOWS\system32\profmap.dll	112
0x1b2e7e0	\WINDOWS\system32\nddeapi.dll	112
0x1b2e980	\samr	112
0x1b2eb28	\WINDOWS\system32\sfcfiles.dll	112
0x1b2ec30	\WINDOWS\system32	112
0x1b2edc0	\WINDOWS\system32\unicode.nls	112
0x1b2f598	\Program Files\VMware\VMware Tools\VMControlPanel.cpl	112
0x1b2fe28	\Documents and Settings\Administrator	112
0x1b3dcd8	\WINDOWS\0.log	112
0x1b3e028	\Documents and Settings\Administrator\Start Menu\Programs\Accessories\Entertainment\desktop.ini	112
0x1b3f028	\Documents and Settings\All Users\Start Menu\Programs\Accessories\Communications\desktop.ini	112
0x1b40028	\Documents and Settings\Administrator\Start Menu\Programs\desktop.ini	112
0x1b40360	\WINDOWS\WinSxS\Policies\x86_policy.5.2.Microsoft.Windows.Networking.Dxmrtp_6595b64144ccf1df_x-ww_362e60dd\5.2.2.3.Policy	112
0x1b403f8	\WINDOWS\system32\wbem\wmiutils.dll	112
0x1b404c0	\WINDOWS\WindowsUpdate.log	112
0x1b40558	\WINDOWS\WindowsUpdate.log	112
0x1b405f0	\WINDOWS\WindowsUpdate.log	112
0x1b40688	\WINDOWS\WindowsUpdate.log	112
0x1b40df8	\WINDOWS\system32\wldap32.dll	112
0x1b41908	\$Directory	112
0x1b44418	\WINDOWS\explorer.exe	112
0x1b44a88	\WINDOWS\system32\wups.dll	112
0x1b44cc8	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1b44e98	\Documents and Settings\Administrator\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG	112
0x1b45438	\Program Files\Common Files\Microsoft Shared\web server extensions\40\_vti_bin\_vti_adm	112
0x1b45648	\boot.ini	112
0x1b45858	\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9	112
0x1b45a50	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700\msvcp80.dll	112
0x1b45e50	\WINDOWS\system32\shfolder.dll	112
0x1b45f90	\WINDOWS\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.762_x-ww_6b128700\msvcr80.dll	112
0x1b46128	\WINDOWS\system32\apphelp.dll	112
0x1b46b18	\WINDOWS\system32\oleaut32.dll	112
0x1b46c20	\Documents and Settings\Administrator\Local Settings\Temporary Internet Files\Content.IE5\index.dat	112
0x1b46db8	\WINDOWS\system32\pjlmon.dll	112
0x1b46f28	\WINDOWS\system32\config\SECURITY.LOG	112
0x1b470f0	\WINDOWS\system32\drivers\vmscsi.sys	112
0x1b771d0	\WINDOWS\system32\ntdll.dll	112
0x1bce028	\WINDOWS\system32\kbdus.dll	112
0x1befe70	\WINDOWS\system32\shell32.dll	112
